title,content,answer,solution,questionTypeCode,problemLevelCode,problemTypeCode,problemTypeDetailCode,metadata,createdDate,modifiedDate
빈칸에 들어갈 내용으로 가장 알맞는 것을 추론하세요,"푸른 호수 위에 노란 왕관을 쓴 거대한 랍스터가 둥실둥실 떠있어요. 커다란 집게발이 인상적인 이 랍스터의 정체는 개장 10주년을 맞은 롯데월드몰이 잠실 석촌호수에 띄운 풍선입니다. 이번 행사는 롯데물산과 송파구청, 영국 출신의 팝아트 예술가인 필립 콜버트가 손을 잡고 선보인 공공미술 프로젝트 ‘랍스터 원더랜드’입니다. 가장 눈에 띄는 건 호수에 자리한 대형 랍스터 풍선! ‘플로팅 랍스터 킹’이라는 이름을 가진 이 풍선은 높이만 16m에 달해요. 필립 콜버트는 ‘랍스터’를 자신의 예술적 표현 수단으로 여기고 이를 주제로 한 다양한 작품을 선보이는 예술가입니다. 필립 콜버트는 “많은 사람이 오가는 위치에 놓인 이런 조형물로 어린이부터 노인, 예술에 관심 없는 사람까지 즐거운 감정을 느끼면 좋겠다”고 밝혔어요. 앞으로 많은 사람들이 이 풍선을 보고 _______________________ ",즐거운 기분이 들 거예요.,이 문장에서 필립 콜버트가 사람들이 즐거운 감정을 느끼기를 바라는 내용을 통해 앞으로 사람들이 이 풍선을 보고 기분이 좋을 거라는 추론이 가능합니다.,QT01,PL02,PT03,PT0321,"{'options': ['즐거운 기분이 들 거예요.', '식사를 하게 될 거예요.', '예술에 관심을 가지게 될 거예요.', '수영을 하게 될 거예요.']}",2024-09-23T15:29:56.217139,2024-09-23T15:29:56.217139
빈칸에 들어갈 내용으로 가장 알맞는 것을 추론하세요,"추석이 코앞으로 다가왔어요. 추석 때는 맛있는 전과 같은 요리를 준비하며 즐거운 연휴를 보내곤 하죠. 그런데 음식을 하다가 불이 나는 일이 평소보다 많아 각별히 주의해야 합니다. 소방청 국가화재시스템 통계에 따르면 지난 5년(2018∼2022년) 추석 명절 기간 발생한 화재는 총 1170건이었고, 이 가운데 36.3%에 해당하는 425건은 주거시설에서 발생했습니다. 특히 추석 연휴 기간 주거시설에서 발생한 화재의 주요 원인은 △음식물 조리 △담배꽁초 △쓰레기 소각 등이었어요. 만약 음식을 하다가 불이 나면 지글지글 끓는 기름에 물을 부으면 위험하고, 김학근 소방청 화재대응조사과장은 “음식물을 만들다가 불이 나면 젖은 수건을 이용해 덮거나, K급 소화기를 준비해 화재에 대비하길 바란다”고 밝혔습니다. 그러므로 추석을 맞이하기 전에 사람들은 _______________________ ",불을 조심해야 해요.,"추석 연휴 동안 음식 조리와 관련된 화재 사고가 많다고 하였으므로, 화재를 예방하기 위해 불을 조심해야 한다고 추론할 수 있습니다.",QT01,PL02,PT03,PT0321,"{'options': ['음식을 많이 만들어야 해요.', '불을 조심해야 해요.', '모두가 불을 무서워해야 해요.', '추석을 즐길 수 있어요.']}",2024-09-23T15:29:56.217139,2024-09-23T15:29:56.217139
빈칸에 들어갈 내용으로 가장 알맞는 것을 추론하세요,"활활 타오르는 태양이 내뿜는 빛은 지구로 쏟아져요. 이런 태양 빛을 모아 전기를 만드는 방법을 ‘태양광 발전’이라고 합니다. 태양광 발전은 지구온난화를 심화시키는 탄소 배출을 하지 않고도 전기를 얻을 수 있어 친환경적이지요. 태양 에너지를 전기 에너지로 바꾸는 장치를 ‘태양 전지’라고 하는데요. 햇빛이 비추게 되면 태양 전지 안의 전자가 움직이면서 전류가 형성되는 원리로 전기를 사용할 수 있지요. 보통은 건물 옥상에 커다랗고 넓적한 모양의 태양 전지 장치를 건설해 에너지를 얻어요.

최근 이런 거대한 태양 전지 외에도 실생활에서 쉽게 에너지를 얻을 수 있는 작은 태양 전지가 개발되고 있어요. 울산과학기술원(UNIST·유니스트) 에너지화학공학과 서관용 교수 연구진이 개발한 태양 전지는 스마트폰 화면에 올려두고 자연광을 비추면 에너지를 얻을 수 있는 전지예요. 이 태양 전지의 또 다른 특징은 유리처럼 몸체가 투명하다는 거예요. 연구진은 “스마트폰을 비롯해 작은 모바일 기기 화면에서도 태양 전지를 사용할 수 있음을 확인했다”고 밝혔지요. 앞으로 연구를 거듭하면 _______________________ ",이 태양 전지를 스마트폰뿐만 아니라 자동차의 유리에도 활용할 수 있을 것으로 보여요.,이 태양 전지가 스마트폰 뿐만 아니라 자동차의 유리에서도 활용 가능하다고 언급되었기 때문입니다.,QT01,PL05,PT03,PT0321,"{'options': ['태양전지를 활용할 수 없어요', '모바일 기기에 발전이 있을 것이에요', '이 태양 전지를 스마트폰뿐만 아니라 자동차의 유리에도 활용할 수 있을 것으로 보여요.', '스마트폰이 투명해질 거에요']}",2024-09-23T15:29:56.217139,2024-09-23T15:29:56.217139
빈칸에 들어갈 내용으로 가장 알맞는 것을 추론하세요,"지난달 29일부터 열린 2024 파리 패럴림픽이 12일간의 여정을 마감하고, 9일 폐막식을 끝으로 막을 내렸어요. 이번 파리 패럴림픽에선 총 4657명의 세계 선수들이 22개 종목의 549개 금메달을 놓고 경쟁했어요. 종합 1위는 금메달 94개를 따낸 중국이 차지했고, 영국(금메달 49개), 미국(금메달 36개), 네덜란드(금메달 27개)가 중국의 뒤를 이었지요. 우리나라는 17개 종목의 선수 83명이 출전해 금메달 6개, 은메달 10개, 동메달 14개를 따내며 종합 순위 22위에 올랐어요. 이번 대회에서 5개의 금메달을 따내는 것이 목표였지만 그보다 많은 금메달을 목에 걸었지요. 앞으로 우리나라는 _______________________ ",최고의 성적을 내기 위해 노력할 거예요.,우리나라는 이번 대회에서 예상보다 많은 금메달을 따냈기 때문에 앞으로도 좋은 성적을 내기 위해 노력할 것이라고 추론할 수 있습니다.,QT01,PL02,PT03,PT0321,"{'options': ['더 많은 선수들이 참여하지 않을 거예요.', '최고의 성적을 내기 위해 노력할 거예요.', '다시는 패럴림픽에 나가지 않을 거예요.', '금메달을 따기 위해 훈련을 중단할 거예요.']}",2024-09-23T15:29:56.217139,2024-09-23T15:29:56.217139
빈칸에 들어갈 내용으로 가장 알맞는 것을 추론하세요,"프랑스 파리의 에펠탑에는 2024 파리 올림픽을 기념하는 오륜 조형물이 걸려있어요. 최근 오륜기 조형물을 두고 여러 의견이 나오고 있는데, 파리 시장은 다음 올림픽이 열리는 2028년까지 에펠탑에 오륜을 그대로 두자고 했고, 반면 피에르 라바당 부시장은 원래 오륜은 일시적으로 사용하기 위해 만든 것이라고 주장했어요. 구스타브 에펠의 후손들은 오륜 조형물이 에펠탑의 메시지 전달에 방해가 될 것이라고 염려하고 있어요. 이러한 상황에서 만약 오륜 조형물이 계속 남게 된다면 _______________________ ",에펠탑에 대한 원래 메시지가 약해질 것이다.,에펠탑의 원래 메시지가 오륜 조형물로 인해 방해받을 수 있다는 우려의 목소리가 있기 때문입니다.,QT01,PL05,PT03,PT0321,"{'options': ['에펠탑은 더 많은 관광객을 끌어모을 것이다.', '올림픽의 의미가 더 강조될 것이다.', '에펠탑에 대한 원래 메시지가 약해질 것이다.', '파리 시민들은 오륜에 대해 통일된 의견을 가질 것이다.']}",2024-09-23T15:29:56.217139,2024-09-23T15:29:56.217139
빈칸에 들어갈 내용으로 가장 알맞는 것을 추론하세요,"자손을 무려 230마리나 남긴 수컷 아프리카 펭귄인 ‘미스터 그리디(Mr.Greedy)’가 최근 33세의 나이로 세상을 떠났어요. 그는 아프리카 펭귄의 평균 수명인 18세보다 무려 15세가량 더 살았다고 동물원은 밝혔어요. 미스터 그리디는 1992년부터 메릴랜드 동물원에 살게 되었고, 1994년 처음 미세스 그리디와 번식에 성공했어요. 한편 아프리카 펭귄의 개체 수는 최근 20년 간 75%가 줄었어요. 앞으로 아프리카 펭귄의 수가 줄어들고 있으므로 _______________________ ",동물원에서 아프리카 펭귄을 더 볼 수 없을지도 몰라요.,아프리카 펭귄의 개체 수가 줄어들고 있기 때문에 동물원에서 이 펭귄들을 볼 기회가 줄어들 수 있다는 점을 추론할 수 있습니다.,QT01,PL01,PT03,PT0321,"{'options': ['미스터 그리디와 같은 펭귄이 더 출생할 수 있을 거예요.', '동물원에서 아프리카 펭귄을 더 볼 수 없을지도 몰라요.', '미스터 그리디는 세상을 떠나지 않을 거예요.', '아프리카 펭귄이 더 많이 번식할 가능성이 높아질 거예요.']}",2024-09-23T15:29:56.218139,2024-09-23T15:29:56.218139
빈칸에 들어갈 내용으로 가장 알맞는 것을 추론하세요,"필리핀 보홀의 다이빙 명소인 버진 아일랜드의 바다에 ‘풍덩’ 뛰어들자, 바닷속 산호의 표면에 ‘김민’, ‘소윤’을 비롯한 여러 글씨가 새겨져 있어요. 지난달 30일, 필리핀의 다이빙 강사 다닐로 메노리아스가 발견한 모습이에요. 이후 조사에 들어간 보홀 지방 환경 관리소는 “둘레가 11m, 지름(중심을 지나는 직선으로 그 둘레 위의 두 점을 이은 선)이 각각 3.71m와 2.3m인 두 개의 평평하고 둥근 산호에서 인위적으로 새겨진 글자를 확인했다”고 밝혔어요. 이번 사건으로 이 지역 바닷가에서 다이빙 등의 활동을 금지하는 조치가 내려졌다고 필리핀 매체인 ‘보홀 아일랜드 뉴스’가 보도했어요. 별도의 공지가 내려지기 전까지는 폐쇄 조치가 계속될 예정이라고. 수많은 바다 생물이 은신처 및 서식지로 삼는 산호는 ‘백화’현상으로도 고통 받고 있어요. 백화 현상이란, 산호가 하얗게 변해가면서 죽음에 이르는 현상. 백화 현상의 가장 큰 원인은 지구 온난화에 의한 바닷물 온도 상승으로 꼽힙니다. 앞으로 바다 생물과 산호를 보호하기 위해서는 ________________________.",인위적으로 글씨를 새기는 행위를 줄여야 해요.,이 사건을 통해 바다 생물과 산호를 지키기 위해서는 인위적인 행동을 자제해야 한다는 것을 알 수 있습니다.,QT01,PL03,PT03,PT0321,"{'options': ['인위적으로 글씨를 새기는 행위를 줄여야 해요.', '다이빙 강습을 늘려야 해요.', '바다의 온도를 더 높여야 해요.', '산호가 죽어가는 것을 지켜봐야 해요.']}",2024-09-23T15:29:56.218139,2024-09-23T15:29:56.218139
빈칸에 들어갈 내용으로 가장 알맞는 것을 추론하세요,"제주 서귀포시의 색달해수욕장에서 바다거북 9마리를 방류하였습니다. 방류된 거북이 중 5마리는 인공증식으로 탄생하였고, 4마리는 구조되어 치료를 마친 개체입니다. 세계자연보전연맹의 멸종위기 목록에 오른 붉은바다거북은 전남 여수 앞바다의 정치망에서 구조되었습니다. 붉은이는 정치망 덕분에 숨을 쉴 수 있었지만, 먹이를 먹지 못해 상태가 안 좋았습니다. 푸른바다거북은 전남 앞바다의 정치망에서 구조되었으며, 등갑이 손상된 상태였습니다. 우리나라에서 마지막으로 바다거북의 산란이 관찰된 것은 2007년이고, 인공증식을 통해 태어난 후 바다로 돌아간 개체가 많습니다. 해양환경공단의 전문가들은 산란 가능성을 높이기 위해 야간 조명 사용을 자제하고 사람의 접근을 통제해야 한다고 말했습니다. 앞으로 바다거북이 안전하게 돌아올 수 있도록 _______________________",바다의 환경을 보호해야 할 것입니다.,바다거북의 안전한 방류와 생존을 위해서는 바다의 환경을 보호하고 사람의 접근을 최소화해야 한다는 내용을 고려하면 정답은 1번입니다.,QT01,PL02,PT03,PT0321,"{'options': ['바다의 환경을 보호해야 할 것입니다.', '사람들이 바다에서 놀아야 할 것입니다.', '거북이들이 더 많이 태어날 것입니다.', '모든 바다 생물이 사라질 것입니다.']}",2024-09-23T15:29:56.218139,2024-09-23T15:29:56.218139
빈칸에 들어갈 내용으로 가장 알맞는 것을 추론하세요,"조지아 주 애틀랜타 인근의 도시 와인더의 애팔래치 고등학교에서 4일 총격 사건이 발생해 학생 2명과 교사 2명이 목숨을 잃고, 9명의 부상자가 발생했어요. 범인은 이 학교에 재학 중이던 14세 학생이어서 미국 사회에 큰 충격을 줬어요. 조 바이든 미국 대통령은 사건 이후 총기 규제를 강화하는 법을 통과시켜달라고 미국 의회에 거듭 요청했어요. 이번 사건으로 미국의 총기 규제 정책이 11월에 있을 미국 대통령 선거의 중요한 쟁점으로 떠오를 가능성이 커졌다는 평가가 나와요. 이러한 사건을 계기로 _______________________ ",총기 규제를 강화해야 한다는 목소리가 높아질 것이다,최근 사건으로 인해 총기 규제의 필요성이 커지면서 강화해야 한다는 요구가 증가할 것으로 추론할 수 있습니다.,QT01,PL01,PT03,PT0321,"{'options': ['미국 사회는 더욱 안전해질 거예요', '학생들이 학교에 다시 가지 않을 거예요', '총기 규제를 강화해야 한다는 목소리가 높아질 것이다', '총기 사건이 더 많이 발생할 것이다']}",2024-09-23T15:29:56.218139,2024-09-23T15:29:56.218139
빈칸에 들어갈 내용으로 가장 알맞는 것을 추론하세요,"그동안 달에서 화산 활동은 약 28억 년 전에 끝난 것으로 추정됐었으나, 최근 공룡이 지구에서 뛰놀던 약 1억2000만 년 전에도 달에서 화산 활동이 있었다는 새로운 연구 결과가 나왔다. 중국과학원 연구진은 달 탐사선 창어 5호가 가져온 토양 샘플을 분석해 이러한 결과를 얻었으며, 연구 결과는 국제학술지 ‘사이언스’에 실렸다. 연구진은 창어 5호의 달 샘플에서 화산 활동으로 만들어진 유리구슬 3개를 확인하고, 이들의 연대는 1억2300만 년 전으로 나타났다. 미국 우주 매체는 이 발견을 “달의 역사를 다시 쓸 수 있는 발견”이라고 평가하며, 이렇게 늦은 시기에 화산 활동이 있었다는 것은 달이 존재한 거의 모든 기간 화산 활동을 했다는 것을 의미한다고 설명했다. 앞으로 연구를 통해 ________________________.",달의 과거와 현재에 대한 새로운 사실을 더 많이 알게 될 것이다.,"이 연구는 달에서 화산 활동이 있었던 시기를 새롭게 알게 되었으므로, 앞으로 더 많은 사실들이 밝혀질 가능성이 크기 때문이다.",QT01,PL02,PT03,PT0321,"{'options': ['달의 화산 활동이 더 이상 발견되지 않을 것이다.', '달의 과거와 현재에 대한 새로운 사실을 더 많이 알게 될 것이다.', '우주 탐사는 더 이상 필요하지 않을 것이다.', '공룡이 달에 살았다는 증거를 발견할 것이다.']}",2024-09-23T15:29:56.218139,2024-09-23T15:29:56.218139
