title,content,answer,solution,questionTypeCode,problemLevelCode,problemTypeCode,problemTypeDetailCode,metadata,createdDate,modifiedDate,contentID,classification,word_count,word_avg,word_hard,length,Difficulty_Level
릴리엔탈은 누구와 형제인가요?,어느 마을에 릴리엔탈과 구스타프라는 형제가 살았어. 릴리엔탈과 구스타프는 어릴 때부터 하늘을 자유롭게 날아다니는 새를 부러워했어. 그래서 날마다 언덕에 올라 하늘을 나는 새를 구경하곤 했지.,구스타프,지문에 리리엔탈과 구스타프가 형제라고 나와 있습니다.,QT01,PL01,PT02,PT0211,"{'options': ['마르코', '토마스', '구스타프', '루카']}",2024-09-23T14:33:42.610693,2024-09-23T14:33:42.610693,9788961916103_49110,의사소통,24.0,3.0,3.0,106.0,1
그림 속에서 빠르게 걷고 있는 건 누구인가요?,그림 속에서 빠르게 걷고 있는 보이지요. 걷고 있는 개의 여러 여러 동작을 한 그림 안에 그려 넣어서 그렇게 보이는 거예요. 이것은 개가 움직이고 있을 때 수십 장의 사진을 찍어서 한 장의 사진에 인쇄한 것과 같은 거예요.,개,지문에서는 빠르게 걷고 있는 것이 개라고 설명하고 있습니다.,QT01,PL01,PT02,PT0211,"{'options': ['고양이', '새', '개', '토끼']}",2024-09-23T14:33:42.610693,2024-09-23T14:33:42.610693,9791128216381_29290,예술경험,36.0,2.5,4.0,124.0,1
클림트의 작품에서 남녀 한 쌍은 무엇을 하고 있나요?,"키스. 구스타프 클림트, 1907 1908년, 벨베델 오스트리아 미술관. 황금 옷을 입은 남녀 한 쌍이 꽃밭 위에서 키스하고 있어요. 클림트의 아버지는 금 세공사였어요.",꽃밭 위에서 키스하고 있어요.,작품에 설명된 대로 남녀 한 쌍이 꽃밭 위에서 키스하고 있기 때문입니다.,QT01,PL01,PT02,PT0211,"{'options': ['꽃을 심고 있어요.', '놀고 있어요.', '꽃밭 위에서 키스하고 있어요.', '춤을 추고 있어요.']}",2024-09-23T14:33:42.610693,2024-09-23T14:33:42.610693,9791128216381_29297,예술경험,22.0,2.333333333333333,4.0,94.0,1
클림트의 키스라는 작품이 전시된 곳은 어디인가요?,"키스. 구스타프 클림트, 1907 1908년, 벨베델 오스트리아 미술관. 황금 옷을 입은 남녀 한 쌍이 꽃밭 위에서 키스하고 있어요. 클림트의 아버지는 금 세공사였어요.",벨베델 오스트리아 미술관,"지문에 따르면, 클림트의 작품은 벨베델 오스트리아 미술관에 전시되어 있다고 나옵니다.",QT01,PL01,PT02,PT0211,"{'options': ['한국 미술관', '국립중앙도서관', '벨베델 오스트리아 미술관', '서울 타워']}",2024-09-23T14:33:42.610693,2024-09-23T14:33:42.610693,9791128216381_29297,예술경험,22.0,2.333333333333333,4.0,94.0,1
클림트의 아버지 직업은 무엇이었나요?,"키스. 구스타프 클림트, 1907 1908년, 벨베델 오스트리아 미술관. 황금 옷을 입은 남녀 한 쌍이 꽃밭 위에서 키스하고 있어요. 클림트의 아버지는 금 세공사였어요.",금 세공사,클림트의 아버지는 금 세공사였기 때문에 정답은 3번입니다.,QT01,PL01,PT02,PT0211,"{'options': ['화가', '농부', '금 세공사', '의사']}",2024-09-23T14:33:42.610693,2024-09-23T14:33:42.610693,9791128216381_29297,예술경험,22.0,2.333333333333333,4.0,94.0,1
키스라는 클림트의 그림이 밸런타인데이에 흔하게 보이는 이유는 무엇인가요?,그래서 아버지의 영향으로 그림에 실제 금을 입혀 아름답게 표현했어요. 키스라는 클림트의 그림은 사랑을 고백하는 밸런타인데이에 흔하게 볼 수 있어요. 사랑하는 사람에게 보내는 카드에 가장 많이 사용하는 그림이기 때문이지요.,사랑하는 사람에게 보내는 카드에 가장 많이 사용하는 그림이기 때문이지요.,사랑하는 사람에게 보내는 카드에 가장 많이 사용되기 때문에 밸런타인데이에 흔하게 보입니다.,QT01,PL01,PT02,PT0211,"{'options': ['많은 사람들이 이 그림을 싫어해서', '사랑하는 사람에게 보내는 카드에 가장 많이 사용하는 그림이기 때문이지요.', '이 그림이 무서워서 잘 안 보이기 때문에', '그림을 그리기 어렵기 때문입니다.']}",2024-09-23T14:33:42.610693,2024-09-23T14:33:42.610693,9791128216381_29296,예술경험,28.0,3.0,6.0,123.0,1
클림트가 그림을 그리는 데 누구에게서 영향을 받았나요?,그래서 아버지의 영향으로 그림에 실제 금을 입혀 아름답게 표현했어요. 키스라는 클림트의 그림은 사랑을 고백하는 밸런타인데이에 흔하게 볼 수 있어요. 사랑하는 사람에게 보내는 카드에 가장 많이 사용하는 그림이기 때문이지요.,아버지,클림트는 아버지의 영향을 받아 그림을 그렸다고 합니다.,QT01,PL01,PT02,PT0211,"{'options': ['어머니', '선생님', '아버지', '친구']}",2024-09-23T14:33:42.610693,2024-09-23T14:33:42.610693,9791128216381_29296,예술경험,28.0,3.0,6.0,123.0,1
클림트의 그림이 인기가 많아진 것은 언제인가요?,구스타프 클림트(1862 1918)는 황금빛 색채로 유명한 오스트리아의 화가예요. 전통적인 미술에 반대하면서 새로운 시도를 했지요. 사랑과 죽음을 직접적으로 묘사하는 클림트의 그림을 인정하지 않는 사람도 많았어요. 하지만 20세기 말쯤 그는 아주 인기 있는 화가가 되었어요.,20세기 말쯤,클림트는 20세기 말쯤에 아주 인기 있는 화가가 되었기 때문이에요.,QT01,PL01,PT02,PT0211,"{'options': ['19세기 초', '21세기 초', '20세기 말쯤', '18세기 중반']}",2024-09-23T14:33:42.610693,2024-09-23T14:33:42.610693,9791128216381_29295,예술경험,33.0,5.0,5.0,153.0,1
새로운 시도를 하고 황금빛 색채로 유명한 오스트리아의 화가는 누구인가요?,구스타프 클림트(1862 1918)는 황금빛 색채로 유명한 오스트리아의 화가예요. 전통적인 미술에 반대하면서 새로운 시도를 했지요. 사랑과 죽음을 직접적으로 묘사하는 클림트의 그림을 인정하지 않는 사람도 많았어요. 하지만 20세기 말쯤 그는 아주 인기 있는 화가가 되었어요.,구스타프 클림트,구스타프 클림트는 황금빛 색채로 유명한 오스트리아의 화가이기 때문입니다.,QT01,PL01,PT02,PT0211,"{'options': ['빈센트 반 고흐', '파블로 피카소', '구스타프 클림트', '레오나르도 다 빈치']}",2024-09-23T14:33:42.610693,2024-09-23T14:33:42.610693,9791128216381_29295,예술경험,33.0,5.0,5.0,153.0,1
넵투누스의 말이 삽화로 들어간 것은 무엇인가요?,"넵투누스의 말. 월터 크레인, 1910년, 파리 장식 미술 도서관. 로마 신화에 나오는 바다의 신 넵투누스가 말을 이끌고 달리고 있어요. 말이 파도인지 파도가 말인지 구분이 안 될 정도예요. 이 그림은 크레인의 대표작인 넵투누스의 말을 그림책 삽화로 넣기 위해 그린 거예요. 도서관에 가면이 그림이 실린 책을 찾을 수 있어요.",그림책,넵투누스의 말은 그림책 삽화로 들어갔기 때문입니다.,QT01,PL01,PT02,PT0211,"{'options': ['그림', '만화', '그림책', '포스터']}",2024-09-23T14:33:42.610693,2024-09-23T14:33:42.610693,9791128216381_29291,예술경험,47.0,3.0,5.0,182.0,1
